1729183143	1	3	3
1729183153	2	4	8
1729183163	3	4	12
1729183173	4	4	16
1729183183	5	4	20
1729183193	4	4	16
1729183203	3	4	12
1729183213	2	4	8
1729183223	1	4	4
1729183233	2	4	8
1729183243	3	4	12
1729183253	4	4	16
1729183263	5	4	20
1729183273	6	4	24
1729183283	7	4	28
1729183293	8	4	24
1729183303	3	4	12
1729183313	2	4	8
1729183323	1	4	4
1729183333	2	4	8
1729183343	3	4	12
1729183353	4	4	16
1729183363	5	4	20
1729183373	6	4	24
1729183383	7	4	28
1729183393	8	4	24
1729183403	3	4	12
1729183413	2	4	8
1729183423	1	4	4
1729183433	2	4	8
1729183443	3	4	12
1729183453	4	4	16
1729183463	5	4	20
1729183473	6	4	24
1729183483	7	4	28
1729183493	8	4	24
1729183503	3	4	12
1729183513	2	4	8
1729183523	1	4	4
1729183533	2	4	8
1729183543	3	4	12
1729183553	4	4	16
1729183563	5	4	20
1729183573	6	4	24
1729183583	7	4	28
1729183593	8	4	24
1729183603	7	5	35
1729183613	6	6	36
1729183623	5	7	35
1729183633	4	8	32
1729183643	3	9	27
1729183653	2	10	20
1729183663	1	11	11
1729183673	2	12	24
1729183683	3	13	39
1729183693	4	14	56
1729183703	7	5	35
1729183713	6	6	36
1729183723	5	7	35
1729183733	4	8	32
1729183743	3	9	27
1729183753	2	10	20
1729183763	1	11	11
1729183773	2	12	24
1729183783	3	13	39
1729183793	4	14	56
1729183803	7	5	35
1729183813	6	6	36
1729183823	5	7	35
1729183833	4	8	32
1729183843	3	9	27
1729183853	2	10	20
1729183863	1	11	11
1729183873	2	12	24
1729183883	3	13	39
1729183893	4	14	56
1729183903	7	5	35
1729183913	6	6	36
1729183923	5	7	35
1729183933	4	8	32
1729183943	3	9	27
1729183953	2	10	20
1729183963	1	11	11
1729183973	2	12	24
1729183983	3	13	39
1729183993	4	14	56
